S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
70,GRDBL,540.10,49.10,10.00,497.90,540.10,489.00,"57,151.00",491.00
71,GUFL,742.90,22.90,3.18,706.10,754.00,706.10,"69,515.00",720.00
72,GVL,649.00,4.00,0.62,632.10,657.50,608.00,"99,171.00",645.00
73,GWFD83,"1,202.00",-24.00,-1.96,"1,202.00","1,202.00","1,202.00",251.00,"1,226.00"
74,HATHY,"1,024.60",11.60,1.15,"1,013.00","1,045.00","1,011.00","57,867.00","1,013.00"
75,HBL,209.50,5.30,2.60,204.00,210.10,203.00,"63,008.00",204.20
76,HDHPC,159.90,10.90,7.32,151.90,160.00,147.10,"810,209.00",149.00
77,HDL,"1,393.00",9.00,0.65,"1,399.00","1,400.00","1,338.00","56,659.00","1,384.00"
78,HEI,648.00,16.00,2.53,640.00,648.00,639.10,"31,757.00",632.00
79,HEIP,343.10,-5.90,-1.69,355.70,375.50,343.10,"4,350.00",349.00
80,HHL,403.00,26.20,6.95,370.20,407.00,370.20,"92,210.00",376.80
81,HIDCL,191.60,12.60,7.04,180.00,196.00,180.00,"347,816.00",179.00
82,HIDCLP,107.80,4.80,4.66,104.30,110.00,103.00,"141,086.00",103.00
83,HLBSL,"1,335.00",55.00,4.30,"1,255.00","1,340.00","1,255.00","46,836.00","1,280.00"
84,HLI,410.20,19.20,4.91,396.90,410.20,390.20,"150,726.00",391.00
85,HPPL,323.00,17.00,5.56,305.00,329.00,300.00,"166,216.00",306.00
86,HRL,590.00,10.00,1.72,575.00,592.00,575.00,"180,459.00",580.00
87,HURJA,213.00,18.00,9.23,198.00,213.20,196.00,"155,545.00",195.00
88,ICFC,630.00,11.00,1.78,617.00,636.40,612.00,"60,256.00",619.00
89,ICFCD83,"1,175.00",-125.50,-9.65,"1,199.80","1,199.80","1,170.50",256.00,"1,300.50"
90,IGI,567.00,9.00,1.61,557.00,567.00,550.00,"52,754.00",558.00
